TspAssetID,osmid,Name,y,x,north_min,north_max,south_min,south_max,east_min,east_max,west_min,west_max,check,note,check 2,Consider correction,CC action needed,
24,3447,Lindblade St + Sepulveda Blvd,34.0038039,-118.4083802,260,34,34,170,,,170,260,1,,,,,
25,266,Culver Blvd + Sepulveda Blvd,34.0046967,-118.4099432,260,343,73,170,343,73,170,260,1,,,,,
27,31,Washington Blvd + Elenda St / Girard Ave,34.0138012,-118.4088429,,,95,184,312,95,184,312,0,"Elenda Street not present, since it's tied to a different intersection in OSM, but this shouldn't cause an issue",1,,,
28,280,Culver Blvd + Elenda St,34.0100391,-118.4056988,262,350,80,172,350,80,172,262,1,,,,,
29,2727,Washington Blvd + Culver Center Dr,34.016087,-118.406333,,,93,183,313,93,183,313,1,,,,,
30,2518,Washington Blvd + Overland Ave,34.0168681,-118.4054768,275,0,93,189,0,93,189,275,1,,,,,
31,2025,Sony Entrance + Overland Ave / Palm Ct,34.0156742,-118.4042037,230,50,50,230,,,,,0,"Sony entrance and Palm Court Way not on OSM so  range has no E/W, but have no service",1,,,
32,2033,Franklin Ave + Farragut Dr / Overland Ave,34.0104145,-118.3992016,276,353,83,185,353,83,185,276,1,,,,,
33,1769,Braddock Dr + Overland Ave,34.0115245,-118.4002835,268,357,86,177,357,86,177,268,1,,,,,
34,284,Culver Blvd + Overland Ave,34.0138983,-118.4025641,272,357,87,182,357,87,182,272,1,,,,,
35,290,Culver Blvd + Sony Entry / Motor Dr,34.0165159,-118.40031,245,334,,,334,124,124,245,0,Sony entrance not on OSM,1,,,
36,340,Madison Ave + Sony Dwy,34.0203807,-118.3984749,230,50,50,230,,,,,0,"Corrected (copied Overland since it's parallel), Sony driveway not on OSM",1,,,
37,2663,Culver Blvd + Madison Ave,34.01969122,-118.3978603,259,348,88,179,348,88,179,259,1,,,,,
38,2345,Washington Blvd + Motor Ave,34.018641,-118.40254,,,101,191,324,101,191,324,1,,,,,
39,1938,Washington Blvd + Jasmine Ave,34.0198789,-118.400462,,,99,188,324,99,188,324,1,,,,,
40,337,Washington Blvd + Clarington Ave / Madison Ave,34.0207895,-118.398935,276,6,100,190,6,100,190,276,1,,,,,
41,2122,Washington Blvd + Duquesne Ave / Hughes Ave,34.0216579,-118.3974723,276,6,100,190,6,100,190,276,1,,,,,
42,293,Culver Blvd + Duquesne Ave,34.02113145,-118.3966598,254,340,73,167,340,73,167,254,1,,,,,
43,1836,Lafayette Pl + Culver Blvd,34.02214545,-118.3958639,259,349,,,349,123,123,259,0,,1,,,
44,34,Washington Bl/Culver Bl + Irving Pl/Watseka Av,34.0235031,-118.3948946,,,85,182,300,85,182,300,0,"Irving Place not included, switched directions",,,,
45,34,Cardiff Ave + Culver Blvd,34.0235031,-118.3948946,,,85,182,300,85,182,300,0,Switched directions,1,,,
46,37,Culver Blvd + Main St/Washington Bl,34.02430895,-118.394158,,,89,178,300,89,178,300,1,,,,,
47,2279,Culver Blvd + Canfield Ave / Washington Blvd,34.02535424,-118.3935268,268,345,77,180,345,77,180,268,0,"Directions weren't added, but could be corrected",1,,,
48,4053,Washington Blvd + Ince Blvd,34.0246427,-118.392495,271,29,29,175,29,175,175,271,0,"""Trigger point issue"" comment - haven't changed erroneous headings because I'm not sure how best to address that",0,,1,
49,3596,Washington Blvd + Robertson Bl/Higuera St,34.0259721,-118.3902498,290,21,119,208,21,119,208,290,1,,,,,
50,193,Higuera St + Eastham Dr,34.02210435,-118.3791945,,,148,236,6,148,236,6,1,,,,,
51,2943,Hayden Av/Pl* + Higuera St,34.02250641,-118.3821575,326,53,144,237,53,144,237,326,1,,,,,
52,945,National Blvd + Hayden Ave,34.02704735,-118.3807121,325,55,,,55,187,187,325,1,,,,,
53,387,National Blvd + Wesley St,34.0273757,-118.3842,324,62,,,62,195,195,324,1,,,,,
54,950,Washington Blvd + National Bl/Exposition Bl,34.0281866,-118.3865554,283,353,92,182,353,92,182,283,0,"Manually corrected, unsure of cardinal directions",0,,1,
55,39,Washington Blvd + Helms Ave,34.0297384,-118.3839388,295,17,,,17,153,153,295,1,,,,,
56,2575,Washington Blvd + La Cienaga Ave / McManus Ave,34.0310071,-118.379201,298,27,,,27,162,162,298,0,"No northbound, but no service on those segments",1,,,
57,3025,Washington Blvd + La Cienaga Blvd,34.0324873,-118.3743421,266,355,94,184,355,94,184,266,1,,,,,
58,2584,Washington Blvd + Adams Blvd / Comey Ave,34.0329898,-118.3731815,268,358,95,185,358,95,185,268,0,,1,,,
59,424,Centinela Ave + Green Valley Cir,33.9771423,-118.3865586,,,165,249,24,165,249,24,1,,,,,
60,430,Green Valley Cir + Buckingham Pkwy,33.9821027,-118.386266,,,174,270,39,174,270,39,0,Switched E/W,1,,,
61,2548,Centinela Ave + Bristol Pkway,33.9799105,-118.3924402,,,158,249,28,158,249,28,1,,,,,
62,436,Bristol Pkwy + Green Valley Cir,33.9835466,-118.3909351,339,72,164,251,72,164,251,339,0,"Canonical directions might be weird at this one, and heading on Bristol Parkway is close to parallel with Green Valley Circle. It might be necessary to adjust, but the provided heading is within bounds",0,,1,
63,3747,Slauson Ave  + Buckingham Pkwy,33.9889724,-118.3805882,323,54,130,220,54,130,220,323,0,"Comment about buses making turns here, unsure how to match - bounds look right",0,,1,
64,3746,Hannum Ave + Buckingham Pkwy,33.9875129,-118.3824173,309,47,,,47,171,171,309,0,,1,,,
65,2401,Hannum Ave + Uplander Way,33.9873397,-118.3846949,311,43,,,43,173,173,311,1,,,,,
66,1798,Slauson Ave + Bristol Pkway,33.9889079,-118.3868317,314,43,135,226,43,135,226,314,0,Added cardinal directions,1,,,
67,2404,Hannum Ave + Bristol Pkwy,33.9871825,-118.3867929,316,46,132,222,46,132,222,316,0,,1,,,
68,3837,Hannum Ave + Fox Hills Dr. / CHC Dwy,33.9870088,-118.3898126,327,74,,,74,193,193,327,1,,,,,
69,3846,Centinela Ave + Radisson Hotel Dwy,33.98219587,-118.3966966,227,47,47,227,227,47,,,0,"Matches street orientation, but the bus-reported headings are confusing",,,,
70,3696,Centinela Ave + Arizona Ave,33.9813867,-118.3957748,327,71,,,71,204,204,327,0,Corrected cardinal directionss,,,,
71,2549,Sepulveda Blvd + Centinela Ave,33.981085,-118.3947623,340,85,150,240,85,150,240,340,0,Manually corrected,0,1,,
72,444,Sepulveda Blvd + Green Valley Cir,33.9834925,-118.3947632,286,60,60,191,,,191,286,1,,,,,
73,3761,Sepulveda Blvd + Westfield Mall Dwy,33.9866103,-118.395667,319,96,96,230,,,230,319,1,,,,,
74,128,Slauson Ave + Marina Fwy (SR-90),33.98711415,-118.3955886,277,53,143,277,53,143,,,0,"Signal location incorrect - currently at Sepulveda & SR-90, rather than Slauson",,,,
75,3903,Hannum Ave + Playa Ct,33.98988465,-118.393118,277,25,115,187,25,115,187,277,1,,,,,
76,4028,Slauson Ave + Hannum Ave,33.9886204,-118.3919514,292,20,108,200,20,108,200,292,0,Added directions,1,,,
77,3907,Slauson Ave + Fox Hills Mall Dwy,33.98853635,-118.3939189,313,44,143,232,44,143,232,313,0,"Culver City Transit Center, bus runs parallel to Slauson turning out of transit center so the headings are off. Not sure how to handle",,,1,
78,3460,Sepulveda Blvd + Slauson Ave,33.98860895,-118.3954014,317,50,140,227,50,140,227,317,1,,,,,
79,3465,Slauson Ave + Jefferson Blvd/Playa Pacific Dwy,33.98887588,-118.3972672,350,75,158,255,255,350,75,158,0,"Manually corrected, but unsure of canonical orientations",,,,
80,162,Hannum Ave + Playa St,33.99091664,-118.3940527,6,139,139,276,276,6,,,1,,,,,
81,3202,Sepulveda Blvd + Jefferson Blvd / Playa St,33.9902687,-118.3952389,298,91,91,207,,,207,298,0,"EB (on Jefferson) skipped because it's not connected on OSM, but there's no bus service there",,,,
82,1579,Sepulveda Blvd + Berryman Ave,33.99305985,-118.3953125,275,49,133,275,49,133,49,133,1,,,,,
83,4433,Sepulveda Blvd + Jefferson / Sawtelle Blvd,33.9957447,-118.3954838,250,40,122,165,40,122,165,250,0,"This one is a five way intersection with two ""northbound"" streets with service - so not really sure what the canonical directions are, this is just a guess. Note no WB service on Sawtelle",,,,
84,3553,Sepulveda Blvd + Machado Rd,33.9976659,-118.3979072,286,10,98,195,10,98,195,286,1,,,,,
85,3512,Jefferson Blvd + Machado Rd,33.9976575,-118.3954861,314,46,136,224,224,314,46,136,0,"Switched N/S and E/W, since that's the actual cardinal directions - that could be wrong since the rest of Jefferson seems to be E/W aligned relative to the grid. ",,,,
86,3531,Jefferson Blvd + Cota St,33.9999988,-118.3954738,248,329,59,158,329,59,158,248,1,,,,,
87,3522,Jefferson Blvd + Kinston Ave,34.00198074,-118.3944725,,,,,352,70,156,246,1,,,,,
88,3573,Overland Ave + Virginia Ave,34.0060631,-118.3952109,277,7,98,188,7,98,188,277,1,,,,,
89,3536,Jefferson Blvd + Overland Ave,34.00416425,-118.3934965,259,348,80,171,348,80,171,259,0,Added directions,,,,
90,3500,"Overland Ave, Clarmon Pl + Freshman Dr",34.00181415,-118.3911411,285,15,93,183,15,93,183,285,1,,,,,
91,3491,Overland Ave + Maytime Ln,34.00305395,-118.3923893,228,48,48,228,,,,,0,"N/S only, street does not match to intersection on OSM",,,,
92,3794,Jefferson Blvd + Jordan Way / Summertime Ln,34.00528595,-118.3929249,,,63,150,289,63,150,289,0,"NB missing, Summertime Lane gated so not on OSM extract",,,,
93,4040,Jefferson Blvd + Indian Wood Rd,34.00678395,-118.3921644,,,,,292,112,112,292,0,"E/W only, Indian Wood gated so not on OSM extract",,,,
94,3726,Jefferson Blvd + Raintree Cir,34.01011417,-118.3904697,,,68,158,291,68,158,291,0,"E/W only, Raintree cir gaited so not on OSM extract",,,,
95,2410,Jefferson Blvd + College Blvd / Leahy St,34.0130779,-118.3890036,263,355,,,355,112,112,263,0,"WB missing from OSM extract, but no bus service",,,,
96,3732,Jefferson Blvd + Storage Dwy / Pacbell,34.0142889,-118.3885435,234,326,,,326,100,100,234,1,,,,,
97,199,Jefferson Blvd + Duquesne Ave,34.0167649,-118.3880182,261,343,66,164,343,66,164,261,1,,,,,
98,3841,Hannum Ave + Westfield Mall Dwy,33.98759562,-118.3910605,,,358,100,100,222,222,358,1,,,,,
99,2295,Washington Blvd + Landmark St,34.0272097,-118.3881651,277,7,,,7,144,144,277,1,,,,,
100,261,Culver Blvd + I-405 NB On Off Ramps,34.0033612,-118.4109068,260,343,73,170,343,73,170,260,0,Manually corrected,,1,,
101,944,National Blvd + Eastham Dr,34.0267519,-118.3776103,323,49,,,49,183,183,323,1,,,,,
102,1436,Washington Blvd + McLaughlin Ave,33.9999956,-118.4176952,265,356,97,186,356,97,186,265,1,,,,,
105,2940,Jefferson Blvd + Hetzler Rd (New),34.0205072,-118.382557,317,44,,,44,166,166,317,0,"Hetzler Road is parallel to Jefferson Bl, but the only service is LACDPW",,,,
106,2477,Washington Blvd + Wesley St,34.0287926,-118.3855338,278,10,,,10,143,143,278,1,,,,,
